month,med_name,total_packs,total_value,stock_movement
2024-09-01,Enrofloxacin (Baytril),123.5,2470.0,stock in
2024-09-01,Fenbendazole (Panacur),347.0,7634.0,stock in
2024-09-01,VetriScience Perio Support,7.84,219.51999999999998,stock in
2024-09-01,Frontline Plus,212.0,7420.0,stock in
2024-09-01,Nutra Thrive Canine,12.76,765.6,stock in
2024-09-01,Cephalexin (500 mg),87.0,1740.0,stock in
2024-09-01,RespiraTonic,8.1,243.0,stock in
2024-09-01,Tobrex (Tobramycin),208.0,3120.0,stock in
2024-09-01,Rimadyl (Carprofen),226.5,10192.5,stock in
2024-09-01,Zyrtec (Cetirizine),43.8,876.0,stock in
2024-09-01,Canine Eye Health,13.16,394.8,stock in
2024-09-01,BoneHeal,5.6400000000000006,225.60000000000002,stock in
2024-09-01,Cerenia (Maropitant),267.0,13350.0,stock in
2024-09-01,WormAway,3.19,31.9,stock in
2024-09-01,FungalGuard,11.08,443.2,stock in
2024-09-01,Levothyroxine,16.65,333.0,stock in
2024-09-01,EyeClear,47.7,858.6,stock in
2024-09-01,Methimazole,77.75,1710.5,stock in
2024-09-01,Phenobarbital,94.5,2835.0,stock in
2024-09-01,Palladia (Toceranib Phosphate),125.5,15060.0,stock in
2024-09-01,ThyroVet,31.79,1271.6,stock in
2024-09-01,OraVet Dental Gel,53.0,1325.0,stock in
2024-09-01,Adequan Canine Injection,163.0,9780.0,stock in
2024-09-01,AllerEx,13.32,293.04,stock in
2024-09-01,SlimPaws,9.49,332.15000000000003,stock in
2024-09-01,Vetmedin (Pimobendan),900.0,54000.0,stock in
2024-09-01,Beano,27.4,548.0,stock in
2024-09-01,ArthriFlex,62.28,2144.4,stock in
2024-09-01,UroVet,57.75,1617.0,stock in
2024-09-01,Otomax (Mometasone Furoate),42.0,1890.0,stock in
2024-09-01,FleaGuard,15.17,303.4,stock in
2024-09-01,Griseofulvin,187.0,2805.0,stock in
2024-09-01,DiarStop,136.65,2049.75,stock in
2024-09-01,WormGuard,17.85,267.75,stock in
2024-09-01,Clavamox (Amoxicillin/Clavulanic),458.0,11450.0,stock in
2024-09-01,Enzymatic Dental Gel,1.4000000000000001,35.0,stock in
2024-09-01,Cystaid,94.0,2820.0,stock in
2024-09-01,FleaStop,11.1,277.5,stock in
2024-09-01,CardioVet,42.36,2118.0,stock in
2024-09-01,Dasuquin Advanced,44.650000000000006,3125.5000000000005,stock in
2024-09-01,Atopica (Cyclosporine),238.0,21420.0,stock in
2024-09-01,OtitisClean,25.6,384.0,stock in
2024-09-01,WetTailMed,22.3,267.6,stock in
2024-09-01,Petromalt,30.200000000000003,755.00000000000011,stock in
2024-09-01,Tresaderm (Antibiotic Drops),93.5,1870.0,stock in
2024-09-01,RetinoGuard,47.1,2355.0,stock in
2024-09-01,Metronidazole,484.0,4840.0,stock in
2024-09-01,Prednisolone,16.259999999999998,357.71999999999997,stock in
2024-09-01,FlexiJoint (Dog),14.58,729.0,stock in
2024-09-01,Adequan Canine,220.0,11000.0,stock in
2024-09-01,Torbutrol (Butorphanol Tartrate),50.5,2020.0,stock in
2024-09-01,Hill's Prescription Diet w/d,16.6,1245.0,stock in
2024-09-01,GingivaPlus,11.05,309.40000000000003,stock in
2024-09-01,EarClear,31.3,313.0,stock in
2024-10-01,Hill's Prescription Diet w/d,11.350000000000001,851.25000000000011,stock in
2024-10-01,Zyrtec (Cetirizine),71.2,1424.0,stock in
2024-10-01,Adequan Canine,274.0,13700.0,stock in
2024-10-01,Adequan Canine Injection,253.0,15180.0,stock in
2024-10-01,UroVet,81.95,2294.6,stock in
2024-10-01,FlexiJoint (Dog),15.379999999999999,769.0,stock in
2024-10-01,Dermacure,12.66,227.88,stock in
2024-10-01,Phenobarbital,101.5,3045.0,stock in
2024-10-01,BoneHeal,12.4,496.0,stock in
2024-10-01,Tresaderm (Antibiotic Drops),123.0,2460.0,stock in
2024-10-01,SlimPaws,7.1899999999999995,251.64999999999998,stock in
2024-10-01,Renal Support RX (Cat),38.620000000000005,1931.0000000000002,stock in
2024-10-01,Cephalexin (500 mg),117.0,2340.0,stock in
2024-10-01,FungalGuard,10.76,430.4,stock in
2024-10-01,Cystaid,75.0,2250.0,stock in
2024-10-01,ArthriFlex,74.04,2562.2,stock in
2024-10-01,Palladia (Toceranib Phosphate),159.5,19140.0,stock in
2024-10-01,Prednisolone,21.65,476.29999999999995,stock in
2024-10-01,Griseofulvin,209.0,3135.0,stock in
2024-10-01,Tobrex (Tobramycin),308.0,4620.0,stock in
2024-10-01,VetriScience Perio Support,10.0,280.0,stock in
2024-10-01,Enzymatic Dental Gel,11.82,295.5,stock in
2024-10-01,CardioVet,40.68,2034.0,stock in
2024-10-01,WormAway,12.4,124.0,stock in
2024-10-01,OncoCare,13.34,1133.9,stock in
2024-10-01,WormGuard,8.35,125.25,stock in
2024-10-01,Enrofloxacin (Baytril),87.0,1740.0,stock in
2024-10-01,EyeClear,50.900000000000006,916.2,stock in
2024-10-01,Vetmedin (Pimobendan),1150.0,69000.0,stock in
2024-10-01,Dasuquin Advanced,48.6,3402.0,stock in
2024-10-01,Fenbendazole (Panacur),369.0,8118.0,stock in
2024-10-01,FleaStop,10.15,253.75,stock in
2024-10-01,GingivaPlus,5.17,144.76,stock in
2024-10-01,Nutra Thrive Canine,9.16,549.6,stock in
2024-10-01,EarClear,32.0,320.0,stock in
2024-10-01,Torbutrol (Butorphanol Tartrate),73.0,2920.0,stock in
2024-10-01,Beano,31.8,636.0,stock in
2024-10-01,Cerenia (Maropitant),225.0,11250.0,stock in
2024-10-01,Gabapentin,92.0,5060.0,stock in
2024-10-01,CushiVet,24.16,1087.2,stock in
2024-10-01,Otomax (Mometasone Furoate),75.2,3384.0,stock in
2024-10-01,Virbac C.E.T. Enzymatic Oral Gel,92.2,1383.0,stock in
2024-10-01,OtitisClean,28.700000000000003,430.50000000000006,stock in
2024-10-01,Canine Eye Health,17.259999999999998,517.8,stock in
2024-10-01,Petromalt,35.1,877.5,stock in
2024-10-01,Frontline Plus,296.0,10360.0,stock in
2024-10-01,DiarStop,112.76,1691.4,stock in
2024-10-01,Metronidazole,570.0,5700.0,stock in
2024-10-01,RespiraTonic,4.88,146.4,stock in
2024-10-01,FleaGuard,5.97,119.39999999999999,stock in
2024-10-01,ThyroVet,30.3,1212.0,stock in
2024-10-01,Atopica (Cyclosporine),268.5,24165.0,stock in
2024-10-01,RetinoGuard,47.5,2375.0,stock in
2024-10-01,Methimazole,86.5,1903.0,stock in
2024-10-01,Rimadyl (Carprofen),327.0,14715.0,stock in
2024-10-01,Clavamox (Amoxicillin/Clavulanic),489.0,12225.0,stock in
2024-10-01,AllerEx,16.39,360.58000000000004,stock in
2024-10-01,WetTailMed,17.6,211.20000000000002,stock in
2024-10-01,OraVet Dental Gel,53.5,1337.5,stock in
2024-10-01,Levothyroxine,17.15,343.0,stock in
2024-11-01,FleaGuard,14.19,283.8,stock in
2024-11-01,Virbac C.E.T. Enzymatic Oral Gel,84.2,1263.0,stock in
2024-11-01,EarClear,24.700000000000003,247.00000000000003,stock in
2024-11-01,CardioVet,44.84,2242.0,stock in
2024-11-01,Renal Support RX (Cat),42.34,2117.0,stock in
2024-11-01,FungalGuard,14.42,576.8,stock in
2024-11-01,CushiVet,26.48,1191.6,stock in
2024-11-01,WetTailMed,27.9,334.79999999999995,stock in
2024-11-01,DiarStop,148.92000000000002,2233.8,stock in
2024-11-01,Vetmedin (Pimobendan),1092.0,65520.0,stock in
2024-11-01,Dermacure,1.86,33.480000000000004,stock in
2024-11-01,RetinoGuard,36.0,1800.0,stock in
2024-11-01,OtitisClean,46.2,693.0,stock in
2024-11-01,Atopica (Cyclosporine),197.0,17730.0,stock in
2024-11-01,Beano,33.2,664.0,stock in
2024-11-01,Prednisolone,19.25,423.5,stock in
2024-11-01,Enrofloxacin (Baytril),123.0,2460.0,stock in
2024-11-01,Rimadyl (Carprofen),248.5,11182.5,stock in
2024-11-01,OraVet Dental Gel,106.5,2662.5,stock in
2024-11-01,Palladia (Toceranib Phosphate),201.0,24120.0,stock in
2024-11-01,SlimPaws,6.99,244.65,stock in
2024-11-01,Zyrtec (Cetirizine),70.0,1400.0,stock in
2024-11-01,RespiraTonic,8.56,256.8,stock in
2024-11-01,ThyroVet,44.08,1763.1999999999998,stock in
2024-11-01,FleaStop,12.41,310.25,stock in
2024-11-01,AllerEx,21.75,478.5,stock in
2024-11-01,EyeClear,53.900000000000006,970.2,stock in
2024-11-01,Dasuquin Advanced,41.55,2908.5,stock in
2024-11-01,Levothyroxine,16.05,321.0,stock in
2024-11-01,BoneHeal,12.9,516.0,stock in
2024-11-01,Cerenia (Maropitant),163.0,8150.0,stock in
2024-11-01,Frontline Plus,170.0,5950.0,stock in
2024-11-01,Canine Eye Health,5.0600000000000005,151.8,stock in
2024-11-01,OncoCare,19.0,1615.0,stock in
2024-11-01,Phenobarbital,157.0,4710.0,stock in
2024-11-01,Clavamox (Amoxicillin/Clavulanic),449.5,11237.5,stock in
2024-11-01,Hill's Prescription Diet w/d,11.4,855.0,stock in
2024-11-01,Torbutrol (Butorphanol Tartrate),31.0,1240.0,stock in
2024-11-01,Adequan Canine,428.0,21400.0,stock in
2024-11-01,Methimazole,106.0,2332.0,stock in
2024-11-01,UroVet,63.71,1783.88,stock in
2024-11-01,Cystaid,144.5,4335.0,stock in
2024-11-01,Tobrex (Tobramycin),217.0,3255.0,stock in
2024-11-01,FlexiJoint (Dog),19.740000000000002,987.00000000000011,stock in
2024-11-01,GingivaPlus,3.77,105.56,stock in
2024-11-01,Petromalt,31.1,777.5,stock in
2024-11-01,Griseofulvin,223.5,3352.5,stock in
2024-11-01,Tresaderm (Antibiotic Drops),145.0,2900.0,stock in
2024-11-01,Fenbendazole (Panacur),177.0,3894.0,stock in
2024-11-01,Gabapentin,75.5,4152.5,stock in
2024-11-01,WormGuard,8.6499999999999986,129.74999999999997,stock in
2024-11-01,Metronidazole,579.0,5790.0,stock in
2024-11-01,WormAway,6.64,66.399999999999991,stock in
2024-11-01,Otomax (Mometasone Furoate),66.0,2970.0,stock in
2024-11-01,Adequan Canine Injection,342.0,20520.0,stock in
2024-11-01,Enzymatic Dental Gel,11.280000000000001,282.0,stock in
2024-11-01,ArthriFlex,71.2,2412.0,stock in
2024-11-01,Cephalexin (500 mg),79.0,1580.0,stock in
2024-11-01,VetriScience Perio Support,2.98,83.44,stock in
2024-11-01,Nutra Thrive Canine,3.46,207.6,stock in
2024-12-01,Methimazole,97.5,2145.0,stock in
2024-12-01,Cerenia (Maropitant),348.0,17400.0,stock in
2024-12-01,WormAway,5.96,59.6,stock in
2024-12-01,Dermacure,10.58,190.44,stock in
2024-12-01,Otomax (Mometasone Furoate),88.0,3960.0,stock in
2024-12-01,Renal Support RX (Cat),36.980000000000004,1849.0000000000002,stock in
2024-12-01,CardioVet,70.08,3504.0,stock in
2024-12-01,Frontline Plus,320.0,11200.0,stock in
2024-12-01,Gabapentin,170.5,9377.5,stock in
2024-12-01,EyeClear,79.300000000000011,1427.4,stock in
2024-12-01,Fenbendazole (Panacur),375.0,8250.0,stock in
2024-12-01,Metronidazole,475.0,4750.0,stock in
2024-12-01,CushiVet,33.93,1526.85,stock in
2024-12-01,Beano,28.700000000000003,574.0,stock in
2024-12-01,Hill's Prescription Diet w/d,15.75,1181.25,stock in
2024-12-01,Clavamox (Amoxicillin/Clavulanic),510.5,12762.5,stock in
2024-12-01,DiarStop,147.29000000000002,2209.3500000000004,stock in
2024-12-01,SlimPaws,17.38,608.3,stock in
2024-12-01,Canine Eye Health,13.379999999999999,401.4,stock in
2024-12-01,Enrofloxacin (Baytril),163.0,3260.0,stock in
2024-12-01,Enzymatic Dental Gel,10.48,262.0,stock in
2024-12-01,Cystaid,148.0,4440.0,stock in
2024-12-01,FungalGuard,15.58,623.2,stock in
2024-12-01,FlexiJoint (Dog),13.76,688.0,stock in
2024-12-01,FleaStop,12.69,317.25,stock in
2024-12-01,Adequan Canine Injection,214.0,12840.0,stock in
2024-12-01,OncoCare,12.82,1089.7,stock in
2024-12-01,Dasuquin Advanced,66.4,4648.0,stock in
2024-12-01,Prednisolone,19.259999999999998,423.71999999999997,stock in
2024-12-01,Torbutrol (Butorphanol Tartrate),48.5,1940.0,stock in
2024-12-01,AllerEx,22.119999999999997,486.63999999999993,stock in
2024-12-01,Griseofulvin,282.5,4237.5,stock in
2024-12-01,Phenobarbital,156.0,4680.0,stock in
2024-12-01,ArthriFlex,74.14,2516.2000000000003,stock in
2024-12-01,EarClear,31.4,314.0,stock in
2024-12-01,UroVet,75.36,2110.08,stock in
2024-12-01,Cephalexin (500 mg),122.0,2440.0,stock in
2024-12-01,FleaGuard,14.469999999999999,289.4,stock in
2024-12-01,WetTailMed,46.1,553.2,stock in
2024-12-01,Adequan Canine,333.0,16650.0,stock in
2024-12-01,Tresaderm (Antibiotic Drops),147.0,2940.0,stock in
2024-12-01,Petromalt,25.9,647.5,stock in
2024-12-01,OraVet Dental Gel,85.0,2125.0,stock in
2024-12-01,OtitisClean,42.0,630.0,stock in
2024-12-01,ThyroVet,35.36,1414.4,stock in
2024-12-01,RespiraTonic,14.78,443.4,stock in
2024-12-01,Atopica (Cyclosporine),317.5,28575.0,stock in
2024-12-01,RetinoGuard,49.7,2485.0,stock in
2024-12-01,Vetmedin (Pimobendan),1452.0,87120.0,stock in
2024-12-01,Levothyroxine,14.65,293.0,stock in
2024-12-01,Rimadyl (Carprofen),303.5,13657.5,stock in
2024-12-01,GingivaPlus,12.33,345.24,stock in
2024-12-01,Nutra Thrive Canine,14.06,843.6,stock in
2024-12-01,Tobrex (Tobramycin),289.5,4342.5,stock in
2024-12-01,BoneHeal,16.9,676.0,stock in
2024-12-01,Zyrtec (Cetirizine),127.3,2546.0,stock in
2024-12-01,VetriScience Perio Support,9.48,265.44,stock in
2024-12-01,Palladia (Toceranib Phosphate),190.0,22800.0,stock in
2024-12-01,WormGuard,17.05,255.75,stock in
2024-12-01,Virbac C.E.T. Enzymatic Oral Gel,140.2,2103.0,stock in
2025-01-01,RespiraTonic,16.04,481.2,stock in
2025-01-01,SlimPaws,13.629999999999999,477.04999999999995,stock in
2025-01-01,RetinoGuard,50.7,2535.0,stock in
2025-01-01,Methimazole,130.0,2860.0,stock in
2025-01-01,GingivaPlus,5.64,157.92,stock in
2025-01-01,BoneHeal,20.08,803.19999999999993,stock in
2025-01-01,OtitisClean,43.400000000000006,651.00000000000011,stock in
2025-01-01,Enrofloxacin (Baytril),165.0,3300.0,stock in
2025-01-01,Griseofulvin,272.0,4080.0,stock in
2025-01-01,Metronidazole,429.0,4290.0,stock in
2025-01-01,FungalGuard,10.16,406.4,stock in
2025-01-01,Torbutrol (Butorphanol Tartrate),82.5,3300.0,stock in
2025-01-01,FlexiJoint (Dog),17.6,880.00000000000011,stock in
2025-01-01,ArthriFlex,87.97999999999999,3042.4,stock in
2025-01-01,FleaStop,12.3,307.5,stock in
2025-01-01,OncoCare,16.5,1402.5,stock in
2025-01-01,Cystaid,184.5,5535.0,stock in
2025-01-01,Atopica (Cyclosporine),264.5,23805.0,stock in
2025-01-01,Cerenia (Maropitant),273.0,13650.0,stock in
2025-01-01,Rimadyl (Carprofen),385.5,17347.5,stock in
2025-01-01,Palladia (Toceranib Phosphate),183.5,22020.0,stock in
2025-01-01,DiarStop,193.06,2895.9,stock in
2025-01-01,Hill's Prescription Diet w/d,12.95,971.25,stock in
2025-01-01,Phenobarbital,128.5,3855.0,stock in
2025-01-01,Adequan Canine Injection,292.0,17520.0,stock in
2025-01-01,Tresaderm (Antibiotic Drops),154.5,3090.0,stock in
2025-01-01,WormGuard,13.43,201.45,stock in
2025-01-01,Otomax (Mometasone Furoate),74.6,3356.9999999999995,stock in
2025-01-01,ThyroVet,35.33,1413.1999999999998,stock in
2025-01-01,WetTailMed,38.3,459.59999999999997,stock in
2025-01-01,Levothyroxine,12.15,243.0,stock in
2025-01-01,Cephalexin (500 mg),99.0,1980.0,stock in
2025-01-01,FleaGuard,18.97,379.4,stock in
2025-01-01,CardioVet,49.8,2490.0,stock in
2025-01-01,Tobrex (Tobramycin),274.0,4110.0,stock in
2025-01-01,AllerEx,17.6,387.20000000000005,stock in
2025-01-01,Dasuquin Advanced,61.5,4305.0,stock in
2025-01-01,Gabapentin,152.5,8387.5,stock in
2025-01-01,Virbac C.E.T. Enzymatic Oral Gel,109.2,1638.0,stock in
2025-01-01,VetriScience Perio Support,1.74,48.72,stock in
2025-01-01,Vetmedin (Pimobendan),1337.0,80220.0,stock in
2025-01-01,Canine Eye Health,17.14,514.2,stock in
2025-01-01,WormAway,12.7,127.0,stock in
2025-01-01,Prednisolone,19.77,434.94,stock in
2025-01-01,Adequan Canine,420.0,21000.0,stock in
2025-01-01,Frontline Plus,355.0,12425.0,stock in
2025-01-01,Zyrtec (Cetirizine),73.5,1470.0,stock in
2025-01-01,CushiVet,30.93,1391.85,stock in
2025-01-01,Clavamox (Amoxicillin/Clavulanic),462.0,11550.0,stock in
2025-01-01,EyeClear,51.400000000000006,925.2,stock in
2025-01-01,EarClear,28.1,281.0,stock in
2025-01-01,Dermacure,9.5,171.0,stock in
2025-01-01,Fenbendazole (Panacur),422.0,9284.0,stock in
2025-01-01,Renal Support RX (Cat),50.46,2523.0,stock in
2025-01-01,Beano,24.3,486.0,stock in
2025-01-01,Nutra Thrive Canine,12.56,753.6,stock in
2025-01-01,Petromalt,41.1,1027.5,stock in
2025-01-01,OraVet Dental Gel,42.0,1050.0,stock in
2025-01-01,UroVet,76.7,2147.6,stock in
2025-01-01,Enzymatic Dental Gel,3.14,78.5,stock in
2025-02-01,ArthriFlex,54.1,1876.0,stock in
2025-02-01,Torbutrol (Butorphanol Tartrate),81.5,3260.0,stock in
2025-02-01,Cephalexin (500 mg),129.0,2580.0,stock in
2025-02-01,OraVet Dental Gel,61.0,1525.0,stock in
2025-02-01,Levothyroxine,13.3,266.0,stock in
2025-02-01,Renal Support RX (Cat),30.98,1549.0,stock in
2025-02-01,FleaGuard,13.48,269.6,stock in
2025-02-01,RespiraTonic,9.120000000000001,273.6,stock in
2025-02-01,BoneHeal,12.54,501.59999999999997,stock in
2025-02-01,FleaStop,9.3,232.50000000000003,stock in
2025-02-01,RetinoGuard,40.0,2000.0,stock in
2025-02-01,Tresaderm (Antibiotic Drops),150.5,3010.0,stock in
2025-02-01,Cerenia (Maropitant),153.0,7650.0,stock in
2025-02-01,Otomax (Mometasone Furoate),75.2,3384.0,stock in
2025-02-01,Petromalt,36.0,900.0,stock in
2025-02-01,ThyroVet,30.400000000000002,1216.0,stock in
2025-02-01,Frontline Plus,213.0,7455.0,stock in
2025-02-01,OncoCare,11.7,994.49999999999989,stock in
2025-02-01,Cystaid,105.0,3150.0,stock in
2025-02-01,Adequan Canine,250.0,12500.0,stock in
2025-02-01,FlexiJoint (Dog),16.42,821.00000000000011,stock in
2025-02-01,UroVet,78.85,2207.7999999999997,stock in
2025-02-01,Dermacure,9.26,166.68,stock in
2025-02-01,Enzymatic Dental Gel,14.34,358.5,stock in
2025-02-01,WetTailMed,31.1,373.20000000000005,stock in
2025-02-01,Canine Eye Health,7.38,221.4,stock in
2025-02-01,Griseofulvin,311.0,4665.0,stock in
2025-02-01,Palladia (Toceranib Phosphate),172.0,20640.0,stock in
2025-02-01,Prednisolone,25.060000000000002,551.32,stock in
2025-02-01,Atopica (Cyclosporine),214.5,19305.0,stock in
2025-02-01,EarClear,26.5,265.0,stock in
2025-02-01,DiarStop,149.27,2239.05,stock in
2025-02-01,SlimPaws,16.15,565.25,stock in
2025-02-01,Tobrex (Tobramycin),209.0,3135.0,stock in
2025-02-01,Zyrtec (Cetirizine),61.0,1220.0,stock in
2025-02-01,Dasuquin Advanced,49.45,3461.5,stock in
2025-02-01,Enrofloxacin (Baytril),155.0,3100.0,stock in
2025-02-01,Adequan Canine Injection,213.0,12780.0,stock in
2025-02-01,CardioVet,48.68,2434.0,stock in
2025-02-01,GingivaPlus,13.39,374.92,stock in
2025-02-01,Fenbendazole (Panacur),333.0,7326.0,stock in
2025-02-01,Rimadyl (Carprofen),181.5,8167.5,stock in
2025-02-01,WormGuard,9.24,138.6,stock in
2025-02-01,Phenobarbital,119.5,3585.0,stock in
2025-02-01,Gabapentin,106.5,5857.5,stock in
2025-02-01,FungalGuard,8.36,334.4,stock in
2025-02-01,OtitisClean,32.5,487.5,stock in
2025-02-01,AllerEx,15.76,346.71999999999997,stock in
2025-02-01,Beano,29.700000000000003,594.0,stock in
2025-02-01,CushiVet,28.38,1277.1,stock in
2025-02-01,Virbac C.E.T. Enzymatic Oral Gel,72.0,1080.0,stock in
2025-02-01,Metronidazole,292.0,2920.0,stock in
2025-02-01,Nutra Thrive Canine,9.78,586.8,stock in
2025-02-01,VetriScience Perio Support,11.18,313.03999999999996,stock in
2025-02-01,Vetmedin (Pimobendan),1253.0,75180.0,stock in
2025-02-01,WormAway,7.0299999999999994,70.3,stock in
2025-02-01,Methimazole,127.75,2810.5,stock in
2025-02-01,EyeClear,54.3,977.4,stock in
2025-02-01,Hill's Prescription Diet w/d,21.1,1582.5,stock in
2025-02-01,Clavamox (Amoxicillin/Clavulanic),418.0,10450.0,stock in
2025-03-01,FleaGuard,13.530000000000001,270.6,stock in
2025-03-01,Prednisolone,11.620000000000001,255.64000000000001,stock in
2025-03-01,Petromalt,13.4,335.0,stock in
2025-03-01,WormGuard,13.71,205.65,stock in
2025-03-01,Hill's Prescription Diet w/d,12.2,915.0,stock in
2025-03-01,Torbutrol (Butorphanol Tartrate),47.5,1900.0,stock in
2025-03-01,AllerEx,24.64,542.08,stock in
2025-03-01,Adequan Canine Injection,203.0,12180.0,stock in
2025-03-01,Nutra Thrive Canine,4.4,264.0,stock in
2025-03-01,Dasuquin Advanced,58.3,4081.0,stock in
2025-03-01,FleaStop,14.2,355.0,stock in
2025-03-01,EarClear,19.6,196.0,stock in
2025-03-01,Vetmedin (Pimobendan),1174.0,70440.0,stock in
2025-03-01,ArthriFlex,48.14,1613.2,stock in
2025-03-01,VetriScience Perio Support,12.3,344.40000000000003,stock in
2025-03-01,ThyroVet,40.85,1634.0,stock in
2025-03-01,Atopica (Cyclosporine),243.0,21870.0,stock in
2025-03-01,Gabapentin,150.0,8250.0,stock in
2025-03-01,Griseofulvin,245.0,3675.0,stock in
2025-03-01,RespiraTonic,14.46,433.8,stock in
2025-03-01,DiarStop,121.76,1826.4,stock in
2025-03-01,Cephalexin (500 mg),120.0,2400.0,stock in
2025-03-01,WetTailMed,21.4,256.79999999999995,stock in
2025-03-01,Fenbendazole (Panacur),403.0,8866.0,stock in
2025-03-01,SlimPaws,9.82,343.7,stock in
2025-03-01,Virbac C.E.T. Enzymatic Oral Gel,104.2,1563.0,stock in
2025-03-01,Beano,15.8,316.0,stock in
2025-03-01,EyeClear,43.2,777.6,stock in
2025-03-01,Frontline Plus,392.0,13720.0,stock in
2025-03-01,Levothyroxine,17.05,341.0,stock in
2025-03-01,Enrofloxacin (Baytril),132.5,2650.0,stock in
2025-03-01,Clavamox (Amoxicillin/Clavulanic),408.5,10212.5,stock in
2025-03-01,Tresaderm (Antibiotic Drops),134.5,2690.0,stock in
2025-03-01,FlexiJoint (Dog),8.9,445.0,stock in
2025-03-01,Canine Eye Health,7.28,218.4,stock in
2025-03-01,Methimazole,132.25,2909.5,stock in
2025-03-01,OraVet Dental Gel,65.0,1625.0,stock in
2025-03-01,Phenobarbital,164.5,4935.0,stock in
2025-03-01,Renal Support RX (Cat),35.28,1764.0,stock in
2025-03-01,OncoCare,20.84,1771.4,stock in
2025-03-01,Enzymatic Dental Gel,3.24,81.0,stock in
2025-03-01,Metronidazole,462.0,4620.0,stock in
2025-03-01,CardioVet,46.480000000000004,2324.0,stock in
2025-03-01,BoneHeal,8.54,341.59999999999997,stock in
2025-03-01,Otomax (Mometasone Furoate),69.800000000000011,3141.0000000000005,stock in
2025-03-01,RetinoGuard,38.0,1900.0,stock in
2025-03-01,GingivaPlus,3.95,110.60000000000001,stock in
2025-03-01,Adequan Canine,383.0,19150.0,stock in
2025-03-01,CushiVet,28.88,1299.6,stock in
2025-03-01,Dermacure,6.76,121.67999999999999,stock in
2025-03-01,WormAway,6.54,65.4,stock in
2025-03-01,Tobrex (Tobramycin),173.0,2595.0,stock in
2025-03-01,UroVet,84.080000000000013,2354.2400000000002,stock in
2025-03-01,Palladia (Toceranib Phosphate),158.5,19020.0,stock in
2025-03-01,Zyrtec (Cetirizine),75.0,1500.0,stock in
2025-03-01,FungalGuard,11.7,468.0,stock in
2025-03-01,Cystaid,67.5,2025.0,stock in
2025-03-01,OtitisClean,41.0,615.0,stock in
2025-03-01,Rimadyl (Carprofen),227.5,10237.5,stock in
2025-03-01,Cerenia (Maropitant),131.0,6550.0,stock in
2025-04-01,Clavamox (Amoxicillin/Clavulanic),395.0,9875.0,stock in
2025-04-01,CardioVet,33.04,1652.0,stock in
2025-04-01,Petromalt,16.6,415.00000000000006,stock in
2025-04-01,VetriScience Perio Support,2.2,61.600000000000009,stock in
2025-04-01,Virbac C.E.T. Enzymatic Oral Gel,97.0,1455.0,stock in
2025-04-01,Adequan Canine Injection,203.0,12180.0,stock in
2025-04-01,Tobrex (Tobramycin),195.5,2932.5,stock in
2025-04-01,OtitisClean,42.1,631.5,stock in
2025-04-01,WormAway,15.75,157.5,stock in
2025-04-01,Metronidazole,407.0,4070.0,stock in
2025-04-01,Palladia (Toceranib Phosphate),202.0,24240.0,stock in
2025-04-01,CushiVet,25.07,1128.15,stock in
2025-04-01,EyeClear,44.0,792.0,stock in
2025-04-01,Prednisolone,15.780000000000001,347.16,stock in
2025-04-01,Rimadyl (Carprofen),214.5,9652.5,stock in
2025-04-01,Vetmedin (Pimobendan),1165.0,69900.0,stock in
2025-04-01,Dasuquin Advanced,49.6,3472.0,stock in
2025-04-01,Enzymatic Dental Gel,8.66,216.5,stock in
2025-04-01,DiarStop,139.95,2099.25,stock in
2025-04-01,BoneHeal,13.08,523.2,stock in
2025-04-01,Cephalexin (500 mg),45.0,900.0,stock in
2025-04-01,ThyroVet,33.53,1341.2,stock in
2025-04-01,Canine Eye Health,5.3000000000000007,159.00000000000003,stock in
2025-04-01,FleaGuard,5.39,107.8,stock in
2025-04-01,OncoCare,15.96,1356.6000000000001,stock in
2025-04-01,FleaStop,11.17,279.25,stock in
2025-04-01,RespiraTonic,17.14,514.2,stock in
2025-04-01,Cystaid,76.5,2295.0,stock in
2025-04-01,Phenobarbital,131.5,3945.0,stock in
2025-04-01,Levothyroxine,12.55,251.0,stock in
2025-04-01,Renal Support RX (Cat),38.980000000000004,1949.0000000000002,stock in
2025-04-01,OraVet Dental Gel,67.75,1693.75,stock in
2025-04-01,Beano,25.9,518.0,stock in
2025-04-01,Griseofulvin,273.5,4102.5,stock in
2025-04-01,Methimazole,106.75,2348.5,stock in
2025-04-01,Gabapentin,53.5,2942.5,stock in
2025-04-01,Dermacure,12.1,217.79999999999998,stock in
2025-04-01,Hill's Prescription Diet w/d,15.85,1188.75,stock in
2025-04-01,GingivaPlus,12.61,353.08,stock in
2025-04-01,RetinoGuard,47.2,2360.0,stock in
2025-04-01,Nutra Thrive Canine,6.5,390.0,stock in
2025-04-01,FungalGuard,14.02,560.8,stock in
2025-04-01,SlimPaws,14.16,495.6,stock in
2025-04-01,ArthriFlex,52.16,1773.8,stock in
2025-04-01,EarClear,28.6,286.0,stock in
2025-04-01,AllerEx,10.559999999999999,232.31999999999996,stock in
2025-04-01,Tresaderm (Antibiotic Drops),106.5,2130.0,stock in
2025-04-01,Fenbendazole (Panacur),316.0,6952.0,stock in
2025-04-01,Enrofloxacin (Baytril),144.0,2880.0,stock in
2025-04-01,Atopica (Cyclosporine),193.5,17415.0,stock in
